53,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8,53.8
59,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1
41,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417
73,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3,738.3
33,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
47,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5,476.5
48,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3,483.3
11,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6
87,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1,878.1
39,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7,398.7
